# format=xcnv-tree-v1
# objective=reg:logistic
# base_score=0.5
# feature_names=SIFT_pred,Polyphen2_HDIV_pred,Polyphen2_HVAR_pred,LRT_pred,MutationTaster_pred,MutationAssessor_pred,FATHMM_pred,RadialSVM_pred,LR_pred,VEST3_score,CADD_phred,GERP++_RS,phyloP46way_placental,phyloP100way_vertebrate,SiPhy_29way_logOdds,CDTS_1st,CDTS_5th,gain.freq,loss.freq,pELS,CTCF-bound,PLS,dELS,CTCF-only,DNase-H3K4me3,pLI,Episcore,GHIS,Type,Length
tree_id	node_id	feature	threshold	yes_id	no_id	missing_id	leaf_value
0	0	LR_pred	0.155069336	1	2	1	NA
0	1	CADD_phred	14.2668858	3	4	3	NA
0	2	Type	0.5	5	6	5	NA
0	3	Length	329.5	7	8	7	NA
0	4	Type	0.5	9	10	9	NA
0	5	loss.freq	5.68601808e-06	11	12	11	NA
0	6	Length	1385127.5	13	14	13	NA
0	7	NA	NA	NA	NA	NA	-0.826666653
0	8	CADD_phred	12.8260107	15	16	15	NA
0	9	loss.freq	5.68601808e-06	17	18	17	NA
0	10	pLI	0.999282002	19	20	19	NA
0	11	LR_pred	0.456950963	21	22	21	NA
0	12	Length	65236.5	23	24	23	NA
0	13	LR_pred	0.793406844	25	26	25	NA
0	14	NA	NA	NA	NA	NA	1.83448279
0	15	NA	NA	NA	NA	NA	-1.96229768
0	16	NA	NA	NA	NA	NA	-1.46728969
0	17	Length	386	27	28	27	NA
0	18	Length	54614.5	29	30	29	NA
0	19	NA	NA	NA	NA	NA	-1.80634391
0	20	NA	NA	NA	NA	NA	-0.934497833
0	21	Length	1538.5	31	32	31	NA
0	22	LRT_pred	0.0873106048	33	34	33	NA
0	23	VEST3_score	0.561563492	35	36	35	NA
0	24	pLI	0.827941179	37	38	37	NA
0	25	pLI	0.989998698	39	40	39	NA
0	26	NA	NA	NA	NA	NA	-0.200000003
0	27	NA	NA	NA	NA	NA	1.61990952
0	28	NA	NA	NA	NA	NA	0.176706821
0	29	NA	NA	NA	NA	NA	-1.52748537
0	30	NA	NA	NA	NA	NA	0.106666669
0	31	NA	NA	NA	NA	NA	1.67441857
0	32	NA	NA	NA	NA	NA	0.849872768
0	33	NA	NA	NA	NA	NA	1.12727273
0	34	NA	NA	NA	NA	NA	1.76436782
0	35	NA	NA	NA	NA	NA	-1.22200394
0	36	NA	NA	NA	NA	NA	0.11965812
0	37	NA	NA	NA	NA	NA	0.202643171
0	38	NA	NA	NA	NA	NA	1.65495205
0	39	NA	NA	NA	NA	NA	-1.70406902
0	40	NA	NA	NA	NA	NA	-1.18805969
